"title"	"year"	"length"	"budget"	"rating"	"votes"	"r1"	"r2"	"r3"	"r4"	"r5"	"r6"	"r7"	"r8"	"r9"	"r10"	"mpaa"	"Action"	"Animation"	"Comedy"	"Drama"	"Documentary"	"Romance"	"Short"
"Gipgo puleun bam"	1985	93	NA	5.5	6	34.5	0	0	0	14.5	0	0	34.5	0	14.5	""	0	0	0	1	0	0	0
"Hill, The"	1965	123	NA	7.6	1506	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	24.5	""	0	0	0	1	0	0	0
"Narcotics: Pit of Despair"	1967	29	NA	5.5	19	4.5	0	14.5	14.5	14.5	14.5	24.5	0	14.5	14.5	""	0	0	0	1	0	0	1
"Scream in the Dark, A"	1943	53	NA	7.4	11	0	0	4.5	0	0	34.5	14.5	14.5	4.5	4.5	""	0	0	0	0	0	0	0
"Getting Lucky"	1990	85	NA	4.2	32	14.5	0	14.5	14.5	14.5	0	4.5	4.5	4.5	14.5	""	0	0	1	0	0	0	0
"Kelly"	1981	94	NA	4.3	10	0	0	14.5	34.5	44.5	0	0	0	24.5	0	""	0	0	0	1	0	0	0
"Genesis"	1986	105	NA	5.3	19	0	0	0	14.5	4.5	14.5	24.5	24.5	4.5	24.5	""	0	0	0	1	0	0	0
"Machibuse"	1970	117	NA	6.8	65	0	0	4.5	4.5	4.5	4.5	34.5	14.5	14.5	14.5	""	0	0	0	1	0	0	0
"November"	2004	73	300000	2.8	164	14.5	14.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	44.5	"R"	0	0	0	1	0	0	0
"Adventures of the Masked Phantom, The"	1939	60	NA	3.9	7	14.5	14.5	24.5	14.5	0	14.5	0	14.5	0	0	""	0	0	0	0	0	0	0
"Billy Bathgate"	1991	106	NA	5.7	2431	4.5	4.5	4.5	4.5	24.5	24.5	24.5	4.5	4.5	4.5	""	0	0	0	1	0	0	0
"Nei er ekkert svar"	1995	75	NA	2.5	25	44.5	24.5	4.5	0	14.5	4.5	0	4.5	4.5	0	""	0	0	0	0	0	0	0
"Amazing Mr. X, The"	1948	78	NA	7.1	53	0	0	0	4.5	4.5	24.5	24.5	14.5	14.5	4.5	""	0	0	0	0	0	0	0
"Geisha"	1996	92	NA	4.9	9	14.5	0	14.5	14.5	14.5	14.5	34.5	0	14.5	0	""	0	0	0	0	0	0	0
"Silent Conflict"	1948	61	NA	6.7	24	0	4.5	4.5	4.5	4.5	24.5	4.5	4.5	4.5	24.5	""	1	0	0	0	0	0	0
"En vacances"	2000	105	NA	6.7	30	4.5	4.5	0	4.5	14.5	14.5	14.5	24.5	4.5	14.5	""	0	0	1	0	0	0	0
"Bride and Gloom"	1954	6	NA	4.8	21	0	4.5	4.5	14.5	44.5	0	0	4.5	4.5	14.5	""	0	1	1	0	0	0	1
"Legend of the Mummy"	1997	96	2000000	2.4	257	34.5	24.5	14.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	"R"	0	0	0	0	0	0	0
"Herbie Goes Bananas"	1980	100	NA	4.4	587	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5	4.5	""	0	0	1	0	0	0	0
"Fall of the Roman Empire, The"	1964	184	19000000	6.4	996	4.5	4.5	4.5	4.5	4.5	24.5	24.5	14.5	4.5	4.5	""	0	0	0	1	0	0	0
"Wheels of Fire"	1984	81	NA	3.6	38	14.5	24.5	14.5	14.5	4.5	14.5	4.5	4.5	0	14.5	""	1	0	0	0	0	0	0
"101 Ways (The Things a Girl Will Do to Keep Her Volvo)"	2000	100	NA	5.5	68	4.5	4.5	4.5	14.5	4.5	14.5	24.5	14.5	14.5	4.5	""	0	0	1	0	0	0	0
"Deadly Past"	1995	90	NA	4.6	53	4.5	4.5	14.5	14.5	14.5	14.5	14.5	4.5	4.5	14.5	""	1	0	0	1	0	0	0
"Flight of the Phoenix"	2004	113	45000000	6	2732	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	"PG-13"	1	0	0	0	0	0	0
"Ideaalmaastik"	1980	91	NA	4.4	9	0	0	24.5	0	0	0	0	24.5	24.5	34.5	""	0	0	0	1	0	0	0
"Gigli"	2003	121	54000000	2.3	11285	74.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.5	"R"	0	0	1	0	0	1	0
"Diable au corps, Le"	1946	122	NA	7.6	51	0	0	4.5	0	4.5	14.5	14.5	14.5	14.5	34.5	""	0	0	0	1	0	1	0
"Palindromes"	2004	100	NA	7.3	405	4.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	24.5	""	0	0	1	1	0	0	0
"Rovin' Tumbleweeds"	1939	62	NA	5.5	12	0	0	14.5	0	24.5	24.5	0	4.5	24.5	0	""	0	0	0	0	0	0	0
"Riri yeye"	2004	85	NA	6.3	12	0	0	4.5	0	14.5	24.5	14.5	24.5	4.5	0	""	0	0	0	1	0	0	0
"Sinans bryllup"	1997	59	NA	3.6	18	14.5	0	0	4.5	0	14.5	24.5	14.5	14.5	14.5	""	0	0	0	0	0	0	0
"Mod Fuck Explosion"	1994	76	NA	3.9	49	14.5	4.5	4.5	4.5	14.5	4.5	14.5	4.5	4.5	24.5	""	0	0	0	0	0	0	0
"Carry On Camping"	1969	88	NA	5.8	476	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	14.5	""	0	0	1	0	0	0	0
"Little Man, What Now?"	1934	91	NA	7.9	41	4.5	4.5	0	4.5	4.5	4.5	4.5	24.5	14.5	34.5	""	0	0	0	1	0	0	0
"Whole New Day, A"	1999	18	NA	5.4	35	4.5	0	14.5	4.5	4.5	14.5	24.5	14.5	4.5	14.5	""	0	0	1	0	0	0	1
"Arcidiavolo, L'"	1966	97	NA	5.7	21	0	0	0	4.5	14.5	14.5	14.5	4.5	14.5	14.5	""	0	0	1	0	0	0	0
"Blanche Fury"	1947	90	1500000	6.6	72	4.5	0	4.5	4.5	4.5	24.5	24.5	24.5	14.5	4.5	""	0	0	0	1	0	1	0
"Pieces of Dreams"	1970	100	NA	4.2	74	34.5	4.5	4.5	4.5	14.5	14.5	4.5	4.5	4.5	4.5	""	0	0	0	1	0	0	0
"American Spoken Here"	1940	11	NA	7.1	11	0	0	0	0	14.5	24.5	4.5	14.5	4.5	14.5	""	0	0	0	0	0	0	1
"Taste of Honey, A"	1961	100	NA	8	316	4.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	24.5	24.5	""	0	0	0	1	0	0	0
"Trohonomos Varvara"	1981	94	NA	5.9	9	0	14.5	0	14.5	14.5	0	14.5	24.5	14.5	24.5	""	0	0	1	0	0	0	0
"Goofy Movies Number Two"	1934	10	NA	5	6	0	14.5	0	0	34.5	14.5	34.5	0	0	0	""	0	0	1	0	0	0	1
"Perfect World"	1990	76	NA	6.6	36	4.5	4.5	0	4.5	4.5	14.5	24.5	24.5	4.5	14.5	""	0	0	0	0	0	0	0
"Lahar"	1996	92	NA	6.3	10	14.5	14.5	0	24.5	0	24.5	0	24.5	0	24.5	""	0	0	0	1	0	0	0
"Life and Times of Grizzly Adams, The"	1974	93	NA	5.1	102	4.5	0	4.5	14.5	14.5	24.5	4.5	4.5	4.5	24.5	""	0	0	0	0	0	0	0
"Yearling, The"	1946	128	4000000	7.5	677	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	24.5	""	0	0	0	1	0	0	0
"Nana"	1926	150	NA	7.1	50	0	0	4.5	4.5	4.5	14.5	34.5	24.5	14.5	14.5	""	0	0	0	1	0	1	0
"Beer"	1985	82	NA	4.6	161	4.5	4.5	14.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	""	0	0	1	0	0	0	0
"Me and My Pal"	1933	20	NA	7.8	107	4.5	0	0	4.5	4.5	14.5	24.5	34.5	14.5	14.5	""	0	0	1	0	0	0	1
"Proposition, The"	1998	110	NA	6.1	544	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	4.5	""	0	0	0	1	0	1	0
"Denial"	1998	93	5000000	5.3	285	4.5	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	14.5	""	0	0	1	1	0	0	0
"Private Detective: Two Plus Two Plus One"	1997	130	200000	3.8	8	34.5	24.5	14.5	0	0	0	0	0	0	24.5	""	0	0	0	0	0	0	0
"Samedi, dimanche et aussi lundi"	1999	13	NA	4.6	7	0	0	14.5	0	0	45.5	14.5	0	14.5	0	""	0	0	1	0	0	0	1
"Kaidan Oiwa no borei"	1961	94	NA	9.2	5	0	0	0	0	0	0	0	0	84.5	24.5	""	0	0	0	0	0	0	0
"Eternal Jew, The"	1933	63	NA	2.2	18	34.5	4.5	0	0	0	0	0	0	0	45.5	""	0	0	0	0	0	0	0
"What Happened to Jones"	1926	70	NA	7.7	7	0	0	0	0	0	0	45.5	14.5	24.5	0	""	0	0	1	0	0	0	0
"Kid"	1984	33	NA	5.4	6	34.5	0	0	0	0	14.5	14.5	14.5	0	14.5	""	0	0	0	0	0	0	1
"Bono"	2004	97	250000	1	14	44.5	0	0	0	0	4.5	4.5	14.5	0	24.5	""	0	0	0	1	0	0	0
"Commies Are Coming, the Commies Are Coming, The"	1962	60	NA	5.6	37	24.5	4.5	14.5	4.5	14.5	4.5	4.5	14.5	4.5	14.5	""	0	0	0	1	0	0	1
"Lines: Horizontal"	1962	6	NA	7.8	21	0	0	0	0	0	24.5	4.5	34.5	4.5	14.5	""	0	0	0	0	0	0	1
"Putain respectueuse, La"	1952	75	NA	4.5	15	14.5	0	0	0	4.5	24.5	14.5	24.5	4.5	14.5	""	0	0	0	1	0	0	0
"Laser Moon"	1992	90	NA	2.8	16	14.5	44.5	14.5	0	0	0	4.5	0	0	24.5	""	0	0	0	0	0	0	0
"Wuyande Shanqiu"	1993	165	NA	8.3	10	0	0	0	0	0	0	0	44.5	44.5	24.5	""	0	0	0	1	0	0	0
"Cercle rouge, Le"	1970	140	NA	7.9	1059	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	24.5	""	0	0	0	0	0	0	0
"Fish Don't Blink"	2002	100	NA	2.7	22	4.5	14.5	0	4.5	4.5	0	4.5	4.5	4.5	45.5	"R"	0	0	0	0	0	0	0
"Way in the Wilderness, A"	1940	11	NA	7.2	9	0	0	0	0	14.5	24.5	14.5	34.5	0	24.5	""	0	0	0	0	0	0	1
"Jungle Princess, The"	1936	85	300000	7.2	22	0	0	0	0	0	24.5	14.5	14.5	4.5	44.5	""	0	0	0	0	0	0	0
"Thousand and One Erotic Nights, A"	1982	86	NA	5.7	45	4.5	4.5	4.5	4.5	4.5	14.5	4.5	14.5	24.5	24.5	""	0	0	0	0	0	0	0
"Rift"	1993	87	NA	2.8	9	24.5	14.5	14.5	14.5	0	0	24.5	14.5	14.5	0	""	0	0	0	1	0	0	0
"Chords of Fame"	1984	88	NA	9.6	5	0	0	0	0	0	0	0	24.5	0	84.5	""	0	0	0	0	1	0	0
"Smicha Hashmalit Ushma Moshe"	1995	90	NA	4.7	17	4.5	0	0	4.5	14.5	0	4.5	24.5	14.5	34.5	""	0	0	0	1	0	0	0
"Beyond the Rockies"	1932	54	NA	5.5	20	0	0	0	4.5	64.5	14.5	14.5	4.5	0	0	""	0	0	0	0	0	0	0
"Cameron's Closet"	1989	86	7000000	3.9	113	4.5	4.5	14.5	24.5	4.5	4.5	14.5	4.5	4.5	4.5	""	0	0	0	0	0	0	0
"Memron"	2004	79	65000	9	11	0	0	0	0	4.5	0	4.5	4.5	4.5	64.5	""	0	0	1	0	0	0	0
"Mysterious Mr. Wong, The"	1934	63	NA	4.5	95	4.5	4.5	14.5	14.5	24.5	24.5	4.5	4.5	4.5	4.5	""	0	0	0	0	0	0	0
"Everything Put Together"	2000	87	500000	7.1	151	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	4.5	14.5	"R"	0	0	0	1	0	0	0
"Baby Cat"	1983	80	NA	3.8	9	0	14.5	34.5	14.5	24.5	24.5	0	0	0	0	""	0	0	1	0	0	0	0
"Oh My God?!"	2001	9	NA	5.9	31	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	4.5	4.5	""	0	0	1	0	0	0	1
"How to Frame a Figg"	1971	103	NA	5.8	87	0	4.5	4.5	4.5	14.5	14.5	24.5	14.5	4.5	14.5	""	0	0	1	0	0	0	0
"Death on the Diamond"	1934	71	NA	6.8	29	0	0	4.5	4.5	14.5	14.5	24.5	24.5	4.5	4.5	""	0	0	0	0	0	0	0
"Boys of 2nd Street Park, The"	2003	91	NA	7.2	38	4.5	0	0	4.5	4.5	14.5	14.5	24.5	14.5	14.5	"R"	0	0	0	0	1	0	0
"Party Monster"	1998	57	NA	6.5	112	4.5	4.5	4.5	0	4.5	4.5	14.5	14.5	4.5	24.5	""	0	0	0	0	1	0	0
"Metropolitan"	1935	79	NA	5.5	18	0	14.5	0	14.5	14.5	4.5	24.5	24.5	0	4.5	""	0	0	0	1	0	0	0
"Mr. Wu"	1927	91	NA	7	54	4.5	0	0	4.5	4.5	14.5	34.5	24.5	4.5	4.5	""	0	0	0	1	0	0	0
"That's the Way of the World"	1975	100	NA	5.8	24	0	0	0	14.5	14.5	14.5	14.5	14.5	4.5	24.5	""	0	0	0	1	0	0	0
"Ship Ahoy"	1942	95	NA	5.8	64	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	14.5	4.5	""	0	0	1	0	0	0	0
"Roseland"	1977	104	NA	5.2	72	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	""	0	0	0	1	0	1	0
"King in Exile, The"	1992	30	NA	8.7	14	14.5	0	0	0	0	0	0	0	0	84.5	""	0	0	0	0	0	0	1
"Chicago"	2002	113	45000000	7.5	34933	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	24.5	"PG-13"	0	0	1	1	0	0	0
"Se tutte le donne del mondo"	1966	106	NA	6.1	28	0	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	24.5	""	1	0	1	0	0	0	0
"Speedy Ghost to Town"	1967	6	NA	5.8	15	0	0	4.5	4.5	34.5	14.5	4.5	24.5	4.5	4.5	""	0	1	1	0	0	0	1
"Corpo Ardente, O"	1966	85	NA	6	9	0	0	0	0	24.5	34.5	24.5	0	0	24.5	""	0	0	0	1	0	1	0
"Dios se lo pague"	1948	120	NA	8	35	4.5	0	4.5	0	0	4.5	4.5	14.5	24.5	45.5	""	0	0	0	1	0	0	0
"Ciudad de M"	2000	100	NA	8.2	61	4.5	0	4.5	4.5	4.5	14.5	4.5	24.5	4.5	14.5	""	0	0	0	1	0	0	0
"Keep 'Em Rolling"	1934	69	NA	7.3	14	0	0	0	0	24.5	24.5	4.5	24.5	4.5	14.5	""	0	0	0	1	0	0	0
"Clan des Siciliens, Le"	1969	118	NA	7	540	4.5	4.5	4.5	4.5	4.5	4.5	24.5	14.5	14.5	14.5	""	0	0	0	1	0	0	0
"Shamus"	1973	100	NA	5.6	130	4.5	4.5	4.5	4.5	24.5	24.5	14.5	14.5	0	4.5	""	0	0	0	1	0	0	0
"I Come in Peace"	1990	91	7000000	4.8	1033	4.5	4.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	""	1	0	0	0	0	0	0
"Whirlwind Raiders"	1948	54	NA	7.7	6	0	0	0	0	14.5	34.5	0	14.5	14.5	14.5	""	0	0	0	0	0	0	0
"Wo de mei li yu ai chou"	1995	100	NA	5.5	9	0	0	0	0	14.5	14.5	24.5	34.5	0	24.5	""	0	0	0	1	0	0	0
"Man with the Golden Arm, The"	1955	119	NA	7.4	861	4.5	4.5	4.5	4.5	4.5	14.5	24.5	34.5	14.5	14.5	""	0	0	0	1	0	0	0
"Clavo, El"	1944	99	NA	7.2	6	0	0	0	0	0	0	14.5	34.5	34.5	14.5	""	0	0	0	1	0	0	0
"Nel profondo paese straniero"	1997	100	NA	5.4	7	0	0	0	14.5	14.5	44.5	0	14.5	14.5	0	""	0	0	0	0	0	0	0
"Mike's Murder"	1984	109	NA	4.8	184	4.5	4.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	4.5	""	0	0	0	0	0	0	0
"Cat and the Mermouse, The"	1949	8	NA	7	40	0	0	0	4.5	4.5	14.5	24.5	34.5	14.5	4.5	""	0	1	1	0	0	0	1
"Queen Was in the Parlor, The"	1932	7	NA	5.7	7	0	0	0	14.5	14.5	44.5	24.5	0	0	0	""	0	1	1	0	0	0	1
"Man I Married, The"	1940	77	NA	6.8	19	0	4.5	0	0	14.5	14.5	34.5	4.5	14.5	14.5	""	0	0	0	1	0	0	0
"Stella Dallas"	1937	106	NA	7.2	444	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	""	0	0	0	1	0	1	0
"Underground"	1928	84	NA	7.2	5	0	0	0	0	0	44.5	44.5	0	0	24.5	""	0	0	0	1	0	0	0
"Doc Savage: The Man of Bronze"	1975	100	NA	4.8	290	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	4.5	14.5	""	0	0	0	0	0	0	0
"Perfume"	2001	106	NA	4.2	192	14.5	14.5	14.5	14.5	14.5	4.5	4.5	4.5	4.5	4.5	"R"	0	0	0	1	0	0	0
"Angel Town"	1990	102	NA	4.2	90	4.5	4.5	14.5	14.5	14.5	14.5	14.5	4.5	4.5	14.5	""	1	0	0	0	0	0	0
"As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty"	2000	320	NA	9.1	26	4.5	0	4.5	0	0	4.5	4.5	4.5	24.5	45.5	""	0	0	0	0	1	0	0
"Band Beautiful, The"	1928	9	NA	6.5	13	0	0	0	0	0	44.5	34.5	4.5	0	14.5	""	0	0	0	0	0	0	1
"Where Are My Children?"	1916	62	NA	6.2	47	4.5	0	4.5	0	14.5	4.5	14.5	24.5	14.5	14.5	""	0	0	0	1	0	0	0
"Red Riding Hoodwinked"	1955	7	NA	7	27	0	0	0	4.5	4.5	4.5	45.5	14.5	4.5	14.5	""	0	1	1	0	0	0	1
"Suzie Superstar II"	1985	92	NA	8.2	15	4.5	0	0	0	0	4.5	24.5	0	0	64.5	""	0	0	0	0	0	0	0
"Defector, The"	1966	106	NA	5.3	63	4.5	4.5	14.5	14.5	14.5	4.5	14.5	14.5	4.5	4.5	""	0	0	0	1	0	0	0
"Pooh's Heffalump Movie"	2005	68	20000000	6.7	295	4.5	4.5	4.5	4.5	4.5	14.5	14.5	14.5	4.5	24.5	""	0	1	0	0	0	0	0
"Jalsaghar"	1958	95	NA	8.1	238	4.5	4.5	0	4.5	4.5	4.5	4.5	14.5	14.5	44.5	""	0	0	0	1	0	0	0
"Mark of the Witch"	1970	84	NA	3.2	12	24.5	0	34.5	4.5	14.5	4.5	0	0	4.5	0	""	0	0	0	0	0	0	0
"Milagro Beanfield War, The"	1988	117	NA	6.8	1601	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	14.5	""	0	0	1	1	0	0	0
"Billabong"	1968	9	NA	8.4	5	0	0	0	0	0	0	0	44.5	24.5	44.5	""	0	0	0	0	0	0	1
"Killer-Dog"	1936	10	NA	6.9	11	0	0	0	0	34.5	0	0	24.5	14.5	14.5	""	0	0	0	1	0	0	1
"Hounds of Notre Dame"	1980	96	NA	6.2	8	0	0	0	0	0	24.5	24.5	14.5	14.5	24.5	""	0	0	0	0	0	0	0
"Sticks and Bones"	1973	105	NA	1	12	45.5	0	0	0	0	0	0	4.5	0	34.5	""	0	0	0	1	0	0	0
"Seesaw Game"	1997	29	NA	5.8	6	14.5	0	0	14.5	0	34.5	34.5	0	0	0	""	0	0	0	1	0	0	1
"Stormy Weather"	1935	74	NA	4.6	14	14.5	4.5	0	0	24.5	24.5	0	4.5	0	14.5	""	0	0	0	0	0	0	0
"Out of the Clouds"	1955	88	NA	5.9	26	4.5	0	4.5	14.5	14.5	14.5	24.5	14.5	4.5	0	""	0	0	0	1	0	0	0
"Lute: camina o revienta, El"	1987	123	NA	5.8	39	4.5	0	4.5	14.5	4.5	34.5	14.5	24.5	4.5	4.5	""	0	0	0	1	0	0	0
"Rabindranath Tagore"	1961	54	NA	6.7	10	0	0	0	0	0	24.5	14.5	24.5	0	45.5	""	0	0	0	0	1	0	0
"Pals and Gals"	1954	17	NA	5.9	27	14.5	14.5	14.5	14.5	0	14.5	4.5	14.5	0	0	""	0	0	1	0	0	0	1
"Me Myself I"	1999	100	NA	6.7	964	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	"R"	0	0	1	0	0	0	0
"Jemima: Dating Is Murder"	2003	9	NA	5.9	8	14.5	0	0	0	0	0	14.5	24.5	14.5	34.5	""	0	0	1	0	0	0	1
"Sacco e Vanzetti"	1971	120	NA	7.3	188	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	34.5	""	0	0	0	1	0	0	0
"Au clair de la lune"	1983	92	NA	7.2	39	4.5	0	0	4.5	4.5	4.5	4.5	14.5	34.5	14.5	""	0	0	1	1	0	0	0
"Pistol Harvest"	1951	60	NA	5.5	11	0	0	4.5	4.5	24.5	0	0	14.5	14.5	14.5	""	0	0	0	0	0	0	0
"Dreaming of Julia"	2003	109	NA	6.6	73	4.5	4.5	4.5	4.5	4.5	4.5	24.5	24.5	4.5	14.5	""	0	0	1	1	0	0	0
"Ebene 9"	2000	14	NA	5.6	10	0	24.5	0	0	24.5	0	34.5	0	14.5	24.5	""	0	0	0	0	0	0	1
"Daai laap mat taam 008"	1996	89	NA	6.9	235	4.5	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	24.5	""	1	0	1	1	0	1	0
"House in Nightmare Park, The"	1973	100	NA	5	47	4.5	4.5	4.5	4.5	4.5	14.5	4.5	14.5	4.5	24.5	""	0	0	1	0	0	0	0
"Apartment for Peggy"	1948	96	NA	7.1	151	0	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	14.5	""	0	0	0	1	0	0	0
"Savage Honeymoon"	2000	90	NA	5.6	53	4.5	0	0	24.5	14.5	14.5	24.5	4.5	4.5	4.5	""	0	0	1	0	0	0	0
"Pot o' Gold"	1941	86	NA	5.5	169	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	4.5	""	0	0	1	0	0	1	0
"Goda viljan, Den"	1992	180	NA	7.5	540	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	24.5	""	0	0	0	1	0	1	0
"Scot-free"	1995	85	NA	8.8	12	14.5	0	0	0	0	0	0	34.5	14.5	34.5	""	0	0	0	1	0	0	0
"Noviembre"	2003	104	NA	8	171	4.5	4.5	4.5	4.5	4.5	14.5	14.5	24.5	14.5	24.5	""	0	0	1	1	0	0	0
"T'aime"	2000	90	NA	1.7	106	74.5	4.5	4.5	4.5	0	4.5	0	4.5	4.5	14.5	""	0	0	0	1	0	0	0
"Plus belles escroqueries du monde, Les"	1964	90	NA	5.8	26	14.5	4.5	0	4.5	14.5	14.5	14.5	14.5	4.5	14.5	""	0	0	1	0	0	0	0
"One Step to Hell"	1967	98	NA	4.9	6	0	0	0	34.5	14.5	0	45.5	0	0	0	""	1	0	0	0	0	0	0
"Boy s tenyu"	2005	132	3500000	4.8	77	14.5	4.5	4.5	4.5	4.5	4.5	14.5	14.5	4.5	34.5	""	1	0	0	0	0	0	0
"Zhan long"	1988	85	NA	2.1	12	24.5	34.5	4.5	0	0	4.5	0	0	14.5	4.5	""	0	0	0	0	0	0	0
"Hard Ticket to Hawaii"	1987	96	NA	3.7	164	14.5	14.5	14.5	4.5	14.5	4.5	4.5	4.5	4.5	14.5	""	0	0	0	0	0	0	0
"Billy Elliot"	2000	110	5000000	7.7	16725	4.5	4.5	4.5	4.5	4.5	4.5	14.5	24.5	14.5	24.5	"R"	0	0	0	1	0	0	0
"Uncaged"	1991	85	NA	3.1	33	4.5	24.5	14.5	4.5	4.5	4.5	0	4.5	4.5	14.5	""	0	0	0	0	0	0	0
"Catherine the Great"	1934	95	NA	5.8	60	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	4.5	4.5	""	0	0	0	1	0	0	0
"Jak daleko stad, jak blisko"	1972	95	NA	7.7	16	0	0	0	4.5	0	14.5	24.5	0	4.5	45.5	""	0	0	0	1	0	0	0
"Forbryder, En"	1941	83	NA	7	5	0	0	0	24.5	44.5	0	0	24.5	24.5	0	""	0	0	0	0	0	0	0
"Devil and the Deep"	1932	78	NA	5.4	40	14.5	4.5	14.5	4.5	14.5	4.5	14.5	14.5	4.5	14.5	""	0	0	0	1	0	0	0
"Samba"	1965	106	NA	6.8	13	4.5	0	4.5	0	4.5	4.5	34.5	24.5	4.5	4.5	""	0	0	0	1	0	0	0
"Thunder in the East"	1952	97	NA	5.3	30	0	4.5	14.5	14.5	24.5	24.5	24.5	14.5	0	4.5	""	0	0	0	1	0	0	0
"Usmiech zebiczny"	1957	2	NA	6.2	112	4.5	4.5	4.5	4.5	24.5	34.5	24.5	4.5	4.5	4.5	""	0	0	0	0	0	0	1
"Silver Dollar"	1932	83	NA	6	29	0	0	4.5	4.5	14.5	24.5	14.5	24.5	4.5	4.5	""	0	0	0	1	0	0	0
"Cuarteto para el fin del tiempo"	1983	27	NA	4.4	6	0	14.5	0	14.5	0	14.5	14.5	0	14.5	14.5	""	0	0	0	1	0	0	1
"Famous Boners"	1942	10	NA	6.1	5	0	0	0	0	44.5	0	64.5	0	0	0	""	0	0	0	0	1	0	1
"Gatekeeper, The"	2002	103	NA	6.4	84	4.5	4.5	4.5	4.5	4.5	14.5	4.5	14.5	4.5	24.5	"R"	0	0	0	1	0	0	0
"This Space Between Us"	2000	98	1290000	4.3	32	0	4.5	4.5	4.5	14.5	4.5	4.5	4.5	4.5	44.5	""	0	0	1	1	0	1	0
"My Six Loves"	1963	101	NA	6	91	4.5	4.5	4.5	4.5	4.5	14.5	24.5	4.5	4.5	24.5	""	0	0	1	0	0	0	0
"Club Le Monde"	2002	79	NA	6.5	44	14.5	4.5	4.5	4.5	4.5	14.5	14.5	4.5	24.5	4.5	""	0	0	0	1	0	0	0
"Tag, der nie zu Ende geht, Ein"	1959	99	NA	3	8	24.5	0	0	0	14.5	24.5	0	14.5	14.5	14.5	""	0	0	0	1	0	0	0
"Sostiene Pereira"	1996	104	NA	7.5	267	4.5	4.5	4.5	4.5	4.5	4.5	14.5	34.5	14.5	14.5	""	0	0	0	1	0	0	0
"Nauchnaya sektsiya pilotov"	1996	113	NA	7.1	14	0	4.5	0	4.5	0	4.5	34.5	4.5	24.5	14.5	""	0	0	0	0	0	0	0
"Sparrows Can't Sing"	1963	94	NA	5.6	14	24.5	0	0	0	4.5	4.5	4.5	34.5	14.5	4.5	""	0	0	1	1	0	0	0
"Blue Fin"	1978	88	NA	5.2	42	4.5	4.5	4.5	4.5	24.5	14.5	14.5	4.5	14.5	4.5	""	0	0	0	1	0	0	0
"Popeye Meets William Tell"	1940	6	NA	5.3	16	0	4.5	14.5	24.5	4.5	14.5	4.5	14.5	0	14.5	""	0	1	1	0	0	0	1
"Mystery of the Millon Dollar Hockey Puck, The"	1975	83	NA	5.8	17	0	0	0	14.5	4.5	14.5	24.5	14.5	4.5	14.5	""	0	0	0	0	0	0	0
"Grand blond avec une chaussure noire, Le"	1972	90	NA	7	701	4.5	4.5	4.5	4.5	4.5	14.5	24.5	24.5	14.5	14.5	""	0	0	1	0	0	0	0
"Cat, The"	1966	87	NA	4.3	15	4.5	24.5	14.5	0	34.5	4.5	4.5	0	0	14.5	""	0	0	0	0	0	0	0
"More Perfect Union: America Becomes a Nation, A"	1989	111	NA	9	7	0	0	0	0	0	0	14.5	14.5	24.5	44.5	""	0	0	0	0	0	0	0
"Curtain Pole, The"	1909	13	NA	5.3	9	14.5	0	0	0	44.5	14.5	0	0	24.5	14.5	""	0	0	1	0	0	0	1
